scenario_id,hist_mean_shift,treatment_effect,method,model,bias,MSE,reject,mc_se_reject,emp_var,mc_sd,n_sims
1,-0.5,0,gibbs,Bayesian_PROCOVA - 0.001,0.059128723173494505,0.028597655221479248,0.10526315789473684,0.07040590042736196,0.026495974279426588,0.16277584058891106,19
1,-0.5,0,gibbs,Bayesian_PROCOVA - 0.005,0.09004888736640743,0.02936682404572289,0.10526315789473684,0.07040590042736196,0.022439023148116903,0.14979660592989716,19
1,-0.5,0,gibbs,Bayesian_PROCOVA - 0.01,0.10741452316873717,0.029074432381732386,0.052631578947368425,0.05122781719918817,0.01851080551606328,0.13605442115588628,19
1,-0.5,0,gibbs,Bayesian_PROCOVA - 0.05,0.06887398193197998,0.014154496993462237,0.052631578947368425,0.05122781719918817,0.009933697806645284,0.09966793770639223,19
1,-0.5,0,jags,Bayesian_PROCOVA - JAGS - 0.005,0.00906760691874609,0.012850065589212971,0.052631578947368425,0.05122781719918817,0.013477168765867863,0.11609120882249381,19
1,-0.5,0,jags,Bayesian_PROCOVA - JAGS - 0.01,0.008915579518310726,0.011018311660430234,0,0,0.01154653655240974,0.10745481167639605,19
2,-0.5,0.35,gibbs,Bayesian_PROCOVA - 0.001,0.06312399216796333,0.04432435216250361,0.7894736842105263,0.09352877017248827,0.04258080898502043,0.2063511787827257,19
2,-0.5,0.35,gibbs,Bayesian_PROCOVA - 0.005,0.08480200691813575,0.04492885976111,0.7894736842105263,0.09352877017248827,0.03983400601619794,0.19958458361355955,19
2,-0.5,0.35,gibbs,Bayesian_PROCOVA - 0.01,0.0947113982386479,0.0418940513220069,0.7894736842105263,0.09352877017248827,0.03475290249711421,0.18642130376411975,19
2,-0.5,0.35,gibbs,Bayesian_PROCOVA - 0.05,0.07095590149293296,0.025028234294320814,0.7894736842105263,0.09352877017248827,0.021104244023070786,0.14527299825869494,19
2,-0.5,0.35,jags,Bayesian_PROCOVA - JAGS - 0.005,0.019246937610555036,0.023177203758704037,0.7894736842105263,0.09352877017248827,0.02407380132639274,0.15515734377203272,19
2,-0.5,0.35,jags,Bayesian_PROCOVA - JAGS - 0.01,0.0123748869060912,0.019655582143523587,0.7894736842105263,0.09352877017248827,0.020585913446339768,0.1434779197170762,19
3,-0.25,0,gibbs,Bayesian_PROCOVA - 0.001,0.21053988107642407,0.06995632927449345,0.45000000000000007,0.11124297730643495,0.026978197632440692,0.164250411361557,20
3,-0.25,0,gibbs,Bayesian_PROCOVA - 0.005,0.18210400601827567,0.05281787372123001,0.29999999999999993,0.10246950765959598,0.02069053127718508,0.14384203584900027,20
3,-0.25,0,gibbs,Bayesian_PROCOVA - 0.01,0.15716631173017998,0.041865249554684875,0.25,0.09682458365518543,0.01806736843349133,0.13441491149977122,20
3,-0.25,0,gibbs,Bayesian_PROCOVA - 0.05,0.09586020544738166,0.02669790047412225,0.15,0.07984359711335656,0.018430233142850555,0.13575799476587208,20
3,-0.25,0,jags,Bayesian_PROCOVA - JAGS - 0.005,0.10580038222813627,0.030104311412069335,0.20000000000000004,0.0894427190999916,0.019905884770999582,0.1410882162726554,20
3,-0.25,0,jags,Bayesian_PROCOVA - JAGS - 0.01,0.09444827881530908,0.02864823644662361,0.20000000000000004,0.0894427190999916,0.02076606218468342,0.1441043447807297,20
4,-0.25,0.35,gibbs,Bayesian_PROCOVA - 0.001,0.1442483292278146,0.03934019645620821,0.9,0.06708203932499368,0.019508016811781274,0.13967110227882243,20
4,-0.25,0.35,gibbs,Bayesian_PROCOVA - 0.005,0.11281729457326438,0.029022759629977486,0.85,0.07984359711335656,0.01715265018436503,0.13096812659714205,20
4,-0.25,0.35,gibbs,Bayesian_PROCOVA - 0.01,0.08578997422172759,0.02338570017859742,0.85,0.07984359711335656,0.01686924263329762,0.12988164856244172,20
4,-0.25,0.35,gibbs,Bayesian_PROCOVA - 0.05,0.023716472280327378,0.018030641071938386,0.85,0.07984359711335656,0.018387547383699843,0.1356006909410857,20
4,-0.25,0.35,jags,Bayesian_PROCOVA - JAGS - 0.005,0.03238018702904583,0.025096497962507503,0.8,0.08944271909999157,0.02531370678997002,0.15910281829675432,20
4,-0.25,0.35,jags,Bayesian_PROCOVA - JAGS - 0.01,0.023839701731976068,0.022694989992911557,0.8,0.08944271909999157,0.023291219593938917,0.15261461133829526,20
5,0,0,gibbs,Bayesian_PROCOVA - 0.001,-0.04476900853774515,0.012108073387926459,0.1,0.0670820393249937,0.010635588697340801,0.10312899057656291,20
5,0,0,gibbs,Bayesian_PROCOVA - 0.005,-0.04832510436213231,0.012159587904199,0.05,0.04873397172404482,0.010341339150092652,0.10169237508334955,20
5,0,0,gibbs,Bayesian_PROCOVA - 0.01,-0.05065540003633122,0.012724323413438174,0.05,0.04873397172404482,0.010693004063786765,0.10340698266455106,20
5,0,0,gibbs,Bayesian_PROCOVA - 0.05,-0.056286104444844644,0.015509442017962026,0.1,0.0670820393249937,0.012990859436195861,0.11397745143753593,20
5,0,0,jags,Bayesian_PROCOVA - JAGS - 0.005,-0.04879159317603299,0.012903923894855968,0.05,0.04873397172404482,0.011077162452842588,0.10524809952128632,20
5,0,0,jags,Bayesian_PROCOVA - JAGS - 0.01,-0.050460757671796766,0.013438578870980211,0.05,0.04873397172404482,0.011465569269650963,0.1070773985005751,20
6,0,0.35,gibbs,Bayesian_PROCOVA - 0.001,0.03212171397635823,0.011982990156356975,0.9,0.06708203932499368,0.0115275638395558,0.10736649309517285,20
6,0,0.35,gibbs,Bayesian_PROCOVA - 0.005,0.02699886831633926,0.01147360028487037,0.9,0.06708203932499368,0.011310169888955099,0.10634928250324541,20
6,0,0.35,gibbs,Bayesian_PROCOVA - 0.01,0.022356696486867066,0.012143437792082174,0.8,0.08944271909999157,0.012256437804501348,0.11070879732207982,20
6,0,0.35,gibbs,Bayesian_PROCOVA - 0.05,0.012651455956942753,0.01638670893337819,0.75,0.09682458365518543,0.017080683784787082,0.13069309004223245,20
6,0,0.35,jags,Bayesian_PROCOVA - JAGS - 0.005,0.013162605016359298,0.017557289451760084,0.85,0.07984359711335656,0.01829898450625621,0.1352737391597357,20
6,0,0.35,jags,Bayesian_PROCOVA - JAGS - 0.01,0.011326741454446553,0.017036659482509795,0.8,0.08944271909999157,0.01779827832687781,0.13341018824241951,20
7,0.25,0,gibbs,Bayesian_PROCOVA - 0.001,-0.22737123735167905,0.06557315125827815,0.45,0.11124297730643495,0.014605759666783768,0.1208542910565602,20
7,0.25,0,gibbs,Bayesian_PROCOVA - 0.005,-0.18398744907500547,0.04447408226334856,0.25,0.09682458365518543,0.011181790364442981,0.10574398500360661,20
7,0.25,0,gibbs,Bayesian_PROCOVA - 0.01,-0.1454286290898296,0.03165194855348649,0.15,0.07984359711335656,0.011055223573199224,0.10514382327649696,20
7,0.25,0,gibbs,Bayesian_PROCOVA - 0.05,-0.06012591703842515,0.01677255445010298,0.05,0.04873397172404482,0.013849924789885682,0.1176857034218077,20
7,0.25,0,jags,Bayesian_PROCOVA - JAGS - 0.005,-0.021561983677564792,0.01917414341140779,0.05,0.04873397172404482,0.019693920285574967,0.1403350287190442,20
7,0.25,0,jags,Bayesian_PROCOVA - JAGS - 0.01,-0.019295881296333077,0.01774672307367704,0,0,0.018288833724920902,0.13523621454669937,20
8,0.25,0.35,gibbs,Bayesian_PROCOVA - 0.001,-0.1183801788897455,0.03325599123709939,0.3,0.10246950765959598,0.020254867876980255,0.14231959765605107,20
8,0.25,0.35,gibbs,Bayesian_PROCOVA - 0.005,-0.09707158733990559,0.024814703774762022,0.45,0.11124297730643495,0.01620190600639274,0.1272867078936082,20
8,0.25,0.35,gibbs,Bayesian_PROCOVA - 0.01,-0.07261136317062952,0.017995884578860966,0.55,0.11124297730643495,0.01339313107090938,0.1157286959699684,20
8,0.25,0.35,gibbs,Bayesian_PROCOVA - 0.05,4.69538644698482e-4,0.012749367553129139,0.75,0.09682458365518543,0.013420154827989762,0.115845391915215,20
8,0.25,0.35,jags,Bayesian_PROCOVA - JAGS - 0.005,0.022045405100719995,0.017750027607958956,0.75,0.09682458365518543,0.018172660759899054,0.13480601158664643,20
8,0.25,0.35,jags,Bayesian_PROCOVA - JAGS - 0.01,0.030212277485518406,0.017783679899619216,0.75,0.09682458365518543,0.017758840198691846,0.13326229848945217,20
9,0.5,0,gibbs,Bayesian_PROCOVA - 0.001,0.005708793383332228,0.0493071972649447,0.30000000000000004,0.10246950765959599,0.05186800730847487,0.227745488009038,20
9,0.5,0,gibbs,Bayesian_PROCOVA - 0.005,-0.019947796645793,0.0563689756117982,0.30000000000000004,0.10246950765959599,0.058916906337659246,0.2427280501665583,20
9,0.5,0,gibbs,Bayesian_PROCOVA - 0.01,-0.02835587182438101,0.05714992605984482,0.30000000000000004,0.10246950765959599,0.05931144272939379,0.24353940693323903,20
9,0.5,0,gibbs,Bayesian_PROCOVA - 0.05,-0.010879405058072673,0.03773571067921588,0.25,0.09682458365518543,0.039597209710313955,0.19899047643119497,20
9,0.5,0,jags,Bayesian_PROCOVA - JAGS - 0.005,0.04392004881634911,0.040938881579773954,0.30000000000000004,0.10246950765959599,0.04106306409657207,0.2026402331635356,20
9,0.5,0,jags,Bayesian_PROCOVA - JAGS - 0.01,0.04714002826216719,0.03978733442051642,0.30000000000000004,0.10246950765959599,0.039542265427324745,0.1988523709371471,20
10,0.5,0.35,gibbs,Bayesian_PROCOVA - 0.001,-0.07766036348121573,0.03669000302494519,0.4,0.10954451150103323,0.03227249575674805,0.17964547240815187,20
10,0.5,0.35,gibbs,Bayesian_PROCOVA - 0.005,-0.0853627069895388,0.03769151720379392,0.4,0.10954451150103323,0.03200497416759165,0.1788993408808195,20
10,0.5,0.35,gibbs,Bayesian_PROCOVA - 0.01,-0.09305113661048713,0.034427635234487344,0.3,0.10246950765959598,0.027125390747351378,0.1646978771792502,20
10,0.5,0.35,gibbs,Bayesian_PROCOVA - 0.05,-0.08348567820861967,0.020822015374323204,0.45,0.11124297730643495,0.014581217798284222,0.12075271341996512,20
10,0.5,0.35,jags,Bayesian_PROCOVA - JAGS - 0.005,-0.027188424747674234,0.017121057747593666,0.5,0.11180339887498948,0.017244049797193396,0.1313166013769523,20
10,0.5,0.35,jags,Bayesian_PROCOVA - JAGS - 0.01,-0.029127363116995944,0.01749063372341811,0.55,0.11124297730643495,0.017518137306598708,0.1323561003754595,20
