scenario_id,hist_mean_shift,treatment_effect,method,model,bias,MSE,reject,mc_se_reject,emp_var,mc_sd,n_sims
1,-0.5,0,gibbs,Bayesian_PROCOVA,0.07312100288698269,0.03158844942088102,0.07999999999999999,0.01918332609325088,0.026373636540384816,0.1623996198899025,200
1,-0.5,0,gibbs,NA,0.052180997378253074,0.017719528783353214,0.04500000000000001,0.01465861521426905,0.01507203245825524,0.12276820621909909,200
1,-0.5,0,glm,ANCOVA,0.005239384797770397,0.01497681847169265,0.02999999999999998,0.012062338081814814,0.01502448976747089,0.12257442542174485,200
1,-0.5,0,glm,ANOVA,0.0014164685030084532,0.016103920008843448,0.034999999999999996,0.012995191418367025,0.016182827764646676,0.12721174381576048,200
1,-0.5,0,glm,PROCOVA - superlearner,0.0035782630192438343,0.015399111349989721,0.03499999999999999,0.012995191418367023,0.01546362551131139,0.12435282671218773,200
1,-0.5,0,glmnet,A_LASSO,0.008080955859096147,0.016557696187197657,0.03999999999999998,0.013856406460551016,0.016575270693066337,0.1287449831763022,200
1,-0.5,0,glmnet,A_LASSO_ADJ,0.012821109332500894,0.015554675899422447,0.03499999999999998,0.012995191418367021,0.015467633221011563,0.12436893993683296,200
2,-0.5,0.35,gibbs,Bayesian_PROCOVA,0.08498944537646552,0.04289234527535289,0.795,0.028546015483776364,0.03584838135673737,0.18933668782551724,200
2,-0.5,0.35,gibbs,NA,0.05641150748377571,0.019781175986870684,0.85,0.025248762345905194,0.01668232945756644,0.12916009235660386,200
2,-0.5,0.35,glm,ANCOVA,0.008515170398614448,0.01793608663964767,0.75,0.030618621784789725,0.017953345238924848,0.1339900938089262,200
2,-0.5,0.35,glm,ANOVA,0.004932406275328858,0.019152829420898937,0.73,0.03139267430468452,0.019224623908777935,0.138652890012354,200
2,-0.5,0.35,glm,PROCOVA - superlearner,0.007760756220383536,0.018444623582074077,0.765,0.029981244136960027,0.018476778135640054,0.13592931301099132,200
2,-0.5,0.35,glmnet,A_LASSO,0.0118915490587025,0.0199832817528423,0.73,0.03139267430468452,0.01994158071741385,0.14121466183585135,200
2,-0.5,0.35,glmnet,A_LASSO_ADJ,0.016988374551259865,0.01875594352009251,0.765,0.029981244136960027,0.01856013934693328,0.13623560234730597,200
3,-0.25,0,gibbs,Bayesian_PROCOVA,0.11752950279463723,0.031965505720717866,0.16499999999999998,0.026246428328441186,0.018243539390515807,0.13506864695596757,200
3,-0.25,0,gibbs,NA,0.0334563260083075,0.01708626782946988,0.030000000000000023,0.012062338081814825,0.01604717796934244,0.12667745643697792,200
3,-0.25,0,glm,ANCOVA,0.004503554927940922,0.01724684381767504,0.04999999999999999,0.01541103500742244,0.017313127447925687,0.13157935798568743,200
3,-0.25,0,glm,ANOVA,0.005531961071229655,0.018674355432572464,0.04999999999999999,0.01541103500742244,0.018737440039476243,0.1368847692019687,200
3,-0.25,0,glm,PROCOVA - superlearner,0.008162157249452974,0.01735640350384239,0.04500000000000002,0.01465861521426905,0.017376666022992555,0.13182058269857766,200
3,-0.25,0,glmnet,A_LASSO,0.027303922581673953,0.0217304459516026,0.06500000000000003,0.01743201078476032,0.021090393731916134,0.1452253205605556,200
3,-0.25,0,glmnet,A_LASSO_ADJ,0.027203782177973455,0.019567496800535242,0.07000000000000005,0.018041618552668722,0.01892206134246094,0.13755748377482388,200
4,-0.25,0.35,gibbs,Bayesian_PROCOVA,0.1231274226022148,0.032396893163337874,0.915,0.019719913792915014,0.01732314670017435,0.13161742551871447,200
